Majority protein IDs,Protein names,Gene names,Correlation C2 vs C6,M score,R score,Hit with current cut-offs,Endosomal
Q04760;Q04760-2,Lactoylglutathione lyase,GLO1,0.186,0.684,-0.273,0.000,
Q13557-12,Calcium/calmodulin-dependent protein kinase type II subunit delta,CAMK2D,0.184,0.377,0.303,0.000,
P61020;P61020-2,Ras-related protein Rab-5B,RAB5B,0.183,0.162,-0.113,0.000,
Q86XI2;Q86XI2-2,Condensin-2 complex subunit G2,NCAPG2,0.183,0.182,-0.362,0.000,
Q8TB72-3;Q8TB72-4,Pumilio homolog 2,PUM2,0.182,2.465,0.414,0.000,
P30519,Heme oxygenase 2,HMOX2,0.182,0.013,-0.207,0.000,
Q9HCE1;Q9HCE1-2,Putative helicase MOV-10,MOV10,0.182,0.003,-0.347,0.000,
Q9H223,EH domain-containing protein 4,EHD4,0.182,0.594,0.111,0.000,
P27144,"Adenylate kinase 4, mitochondrial",AK4,0.181,0.013,-0.225,0.000,
Q9Y5K6,CD2-associated protein,CD2AP,0.178,0.040,-0.244,0.000,
O76070,Gamma-synuclein,SNCG,0.178,0.538,-0.915,0.000,
P27695,"DNA-(apurinic or apyrimidinic site) lyase;DNA-(apurinic or apyrimidinic site) lyase, mitochondrial",APEX1,0.175,0.013,-0.634,0.000,
O00303,Eukaryotic translation initiation factor 3 subunit F,EIF3F,0.175,0.012,-0.418,0.000,
P11172;P11172-3;P11172-2,Uridine 5-monophosphate synthase;Orotate phosphoribosyltransferase;Orotidine 5-phosphate decarboxylase,UMPS,0.173,0.700,-0.716,0.000,
P56192;P56192-2,"Methionine--tRNA ligase, cytoplasmic",MARS,0.173,0.008,-0.052,0.000,
Q6P3W7,SCY1-like protein 2,SCYL2,0.170,3.411,-0.132,0.000,
P35250;P35250-2,Replication factor C subunit 2,RFC2,0.169,0.037,-0.151,0.000,
Q9UIV1;Q9UIV1-2,CCR4-NOT transcription complex subunit 7,CNOT7,0.167,1.727,0.048,0.000,
Q9P206-2;Q9P206;Q9P206-3,Uncharacterized protein KIAA1522,KIAA1522,0.167,1.109,-0.216,0.000,
Q86TU7;Q86TU7-3;Q86TU7-2,Histone-lysine N-methyltransferase setd3,SETD3,0.166,0.178,0.005,0.000,
Q12905,Interleukin enhancer-binding factor 2,ILF2,0.165,0.001,-0.437,0.000,
Q9Y530,O-acetyl-ADP-ribose deacetylase 1,OARD1,0.165,9.159,-0.550,0.000,
Q86TB9;Q86TB9-4;Q86TB9-2,Protein PAT1 homolog 1,PATL1,0.164,0.879,-0.766,0.000,
Q9Y2X3,Nucleolar protein 58,NOP58,0.163,0.598,-0.526,0.000,
Q9UNQ0;Q9UNQ0-2,ATP-binding cassette sub-family G member 2,ABCG2,0.163,0.013,-0.565,0.000,
P09234,U1 small nuclear ribonucleoprotein C,SNRPC,0.162,0.603,0.503,0.000,
O15212,Prefoldin subunit 6,PFDN6,0.161,0.375,-0.836,0.000,
P16278;P16278-3;P16278-2,Beta-galactosidase,GLB1,0.154,0.026,0.103,0.000,
Q9H857-2;Q9H857-3,5-nucleotidase domain-containing protein 2,NT5DC2,0.152,0.091,-0.435,0.000,
P51153,Ras-related protein Rab-13,RAB13,0.152,0.145,-0.126,0.000,
P61758,Prefoldin subunit 3,VBP1,0.149,0.925,-0.426,0.000,
P22392-2;P22392;O60361,Nucleoside diphosphate kinase B;Putative nucleoside diphosphate kinase,NME2;NME2P1,0.147,0.434,-0.229,0.000,
Q03519;Q03519-2,Antigen peptide transporter 2,TAP2,0.144,0.487,-0.443,0.000,
P07339,Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain,CTSD,0.141,0.059,0.378,0.000,
P04843,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,RPN1,0.140,0.043,0.556,0.000,
Q5M775;Q5M775-4;Q5M775-5;Q5M775-3;Q5M775-2,Cytospin-B,SPECC1,0.139,0.087,-0.297,0.000,
Q92945,Far upstream element-binding protein 2,KHSRP,0.138,0.015,-0.511,0.000,
Q15019;Q15019-2;Q15019-3,Septin-2,37500,0.138,0.449,-0.278,0.000,
P40121;P40121-2,Macrophage-capping protein,CAPG,0.137,1.047,-0.426,0.000,
O43681,ATPase ASNA1,ASNA1,0.137,0.332,-0.029,0.000,
Q92688;Q92688-2,Acidic leucine-rich nuclear phosphoprotein 32 family member B,ANP32B,0.137,0.397,0.222,0.000,
Q14165,Malectin,MLEC,0.137,0.143,0.613,0.000,
Q15046;Q15046-2,Lysine--tRNA ligase,KARS,0.134,0.127,0.234,0.000,
P04040,Catalase,CAT,0.133,0.003,0.256,0.000,
O60568,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",PLOD3,0.126,0.044,0.555,0.000,
Q12904,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1;Endothelial monocyte-activating polypeptide 2,AIMP1,0.126,0.174,0.308,0.000,
Q96II8;Q96II8-2;Q96II8-4;Q96II8-3,Leucine-rich repeat and calponin homology domain-containing protein 3,LRCH3,0.125,0.425,-0.641,0.000,
Q9P2J5;Q9P2J5-2,"Leucine--tRNA ligase, cytoplasmic",LARS,0.125,0.003,-0.137,0.000,
O43169,Cytochrome b5 type B,CYB5B,0.125,2.162,-0.550,0.000,
P21359;P21359-2;P21359-6;P21359-4,Neurofibromin;Neurofibromin truncated,NF1,0.125,0.665,-0.611,0.000,
O43504,Ragulator complex protein LAMTOR5,LAMTOR5,0.124,0.417,0.216,0.000,
Q9UHB6;Q9UHB6-2;Q9UHB6-3,LIM domain and actin-binding protein 1,LIMA1,0.124,0.107,-0.370,0.000,
Q9UBF2;Q9UBF2-2,Coatomer subunit gamma-2,COPG2,0.123,0.048,-0.347,0.000,
P14923,Junction plakoglobin,JUP,0.122,0.045,-0.451,0.000,
Q9NQW6;Q9NQW6-2,Actin-binding protein anillin,ANLN,0.122,1.386,-0.288,0.000,
Q9UIQ6;Q9UIQ6-3;Q9UIQ6-2,"Leucyl-cystinyl aminopeptidase;Leucyl-cystinyl aminopeptidase, pregnancy serum form",LNPEP,0.120,0.281,0.379,0.000,
Q9BSD7,Cancer-related nucleoside-triphosphatase,NTPCR,0.118,0.194,-0.504,0.000,
Q15029;Q15029-2;Q15029-3,116 kDa U5 small nuclear ribonucleoprotein component,EFTUD2,0.114,1.135,-0.090,0.000,
Q13907,Isopentenyl-diphosphate Delta-isomerase 1,IDI1,0.112,0.174,0.011,0.000,
Q9P2E9,Ribosome-binding protein 1,RRBP1,0.110,0.075,-0.253,0.000,
O15143,Actin-related protein 2/3 complex subunit 1B,ARPC1B,0.110,0.462,-0.085,0.000,
Q6P1N0,Coiled-coil and C2 domain-containing protein 1A,CC2D1A,0.109,0.334,-0.172,0.000,
Q15382,GTP-binding protein Rheb,RHEB,0.108,1.145,-0.560,0.000,
P36542;P36542-2,"ATP synthase subunit gamma, mitochondrial",ATP5C1,0.107,0.021,-0.260,0.000,
Q8WTV0-2;Q8WTV0-4;Q8WTV0-5;Q8WTV0;Q8WTV0-3,Scavenger receptor class B member 1,SCARB1,0.103,0.529,-0.525,0.000,
Q9P2R3;Q9P2R3-2;Q9P2R3-4,Rabankyrin-5,ANKFY1,0.102,1.966,0.269,0.000,
Q6UW68,Transmembrane protein 205,TMEM205,0.100,1.387,-0.194,0.000,
P15151;P15151-3;P15151-2;P15151-4,Poliovirus receptor,PVR,0.098,4.018,0.036,0.000,
Q9UBG0,C-type mannose receptor 2,MRC2,0.092,0.068,-0.187,0.000,
Q9ULC3,Ras-related protein Rab-23,RAB23,0.090,0.526,-0.117,0.000,
P22102,Trifunctional purine biosynthetic protein adenosine-3;Phosphoribosylamine--glycine ligase;Phosphoribosylformylglycinamidine cyclo-ligase;Phosphoribosylglycinamide formyltransferase,GART,0.090,0.562,-0.367,0.000,
P84090,Enhancer of rudimentary homolog,ERH,0.084,0.089,-0.051,0.000,
P55786;P55786-2,Puromycin-sensitive aminopeptidase,NPEPPS,0.081,0.092,0.328,0.000,
P10644;P10644-2,"cAMP-dependent protein kinase type I-alpha regulatory subunit;cAMP-dependent protein kinase type I-alpha regulatory subunit, N-terminally processed",PRKAR1A,0.079,0.245,-0.347,0.000,
P62195;P62195-2,26S protease regulatory subunit 8,PSMC5,0.078,0.133,-0.560,0.000,
Q96DI7;Q96DI7-2,U5 small nuclear ribonucleoprotein 40 kDa protein,SNRNP40,0.073,0.184,-0.486,0.000,
Q9BRQ8;Q9BRQ8-2,Apoptosis-inducing factor 2,AIFM2,0.073,0.049,-0.405,0.000,
P11940;P11940-2;Q9H361,Polyadenylate-binding protein 1;Polyadenylate-binding protein 3,PABPC1;PABPC3,0.069,0.009,-0.060,0.000,
Q9NYL2,Mitogen-activated protein kinase kinase kinase MLT,ZAK,0.069,0.310,-0.228,0.000,
Q8NCA5;Q8NCA5-2,Protein FAM98A,FAM98A,0.068,0.210,-0.285,0.000,
Q9NY93-2;Q9NY93,Probable ATP-dependent RNA helicase DDX56,DDX56,0.068,0.700,-0.002,0.000,
Q9NPJ3;Q9NPJ3-2,"Acyl-coenzyme A thioesterase 13;Acyl-coenzyme A thioesterase 13, N-terminally processed",ACOT13,0.067,0.117,-0.823,0.000,
Q8WWY3;Q8WWY3-4;Q8WWY3-2;Q8WWY3-3,U4/U6 small nuclear ribonucleoprotein Prp31,PRPF31,0.065,0.861,-0.168,0.000,
Q5PRF9,Protein Smaug homolog 2,SAMD4B,0.063,0.344,-0.106,0.000,
O43684;O43684-2,Mitotic checkpoint protein BUB3,BUB3,0.063,0.013,0.263,0.000,
Q9H7B2,Ribosome production factor 2 homolog,RPF2,0.062,0.995,-0.458,0.000,
P38606;P38606-2,V-type proton ATPase catalytic subunit A,ATP6V1A,0.061,0.399,-0.433,0.000,
P04899;P04899-4;P04899-6;P04899-3;P04899-5;P04899-2,Guanine nucleotide-binding protein G(i) subunit alpha-2,GNAI2,0.060,0.457,-0.689,0.000,
P49458;P49458-2,Signal recognition particle 9 kDa protein,SRP9,0.058,0.002,-0.435,0.000,
Q7Z7H5;Q7Z7H5-3;Q7Z7H5-2,Transmembrane emp24 domain-containing protein 4,TMED4,0.058,0.170,0.131,0.000,
P11310;P11310-2,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADM,0.056,0.014,-0.024,0.000,
Q8IWZ3;Q8IWZ3-4,Ankyrin repeat and KH domain-containing protein 1,ANKHD1,0.056,0.759,-0.413,0.000,
O60220,Mitochondrial import inner membrane translocase subunit Tim8 A,TIMM8A,0.052,0.175,-0.186,0.000,
Q96EY7,"Pentatricopeptide repeat domain-containing protein 3, mitochondrial",PTCD3,0.051,1.683,-0.381,0.000,
P10619;P10619-2,Lysosomal protective protein;Lysosomal protective protein 32 kDa chain;Lysosomal protective protein 20 kDa chain,CTSA,0.051,2.682,0.089,0.000,
Q14847;Q14847-2;Q14847-3,LIM and SH3 domain protein 1,LASP1,0.049,0.082,-0.696,0.000,
P49406,"39S ribosomal protein L19, mitochondrial",MRPL19,0.048,0.058,-0.929,0.000,
P51151,Ras-related protein Rab-9A,RAB9A,0.044,0.055,-0.252,0.000,
Q9BY44;Q9BY44-3;Q9BY44-4;Q9BY44-2,"Eukaryotic translation initiation factor 2A;Eukaryotic translation initiation factor 2A, N-terminally processed",EIF2A,0.043,0.034,-0.327,0.000,
Q9Y3D9,"28S ribosomal protein S23, mitochondrial",MRPS23,0.042,0.131,0.019,0.000,
Q9ULV4;Q9ULV4-2;Q9ULV4-3,Coronin-1C,CORO1C,0.039,0.009,-0.176,0.000,
Q8NB16,Mixed lineage kinase domain-like protein,MLKL,0.034,0.049,-0.252,0.000,
Q8TCT9;Q8TCT9-5,Minor histocompatibility antigen H13,HM13,0.029,0.019,0.353,0.000,
O43242;O43242-2,26S proteasome non-ATPase regulatory subunit 3,PSMD3,0.029,0.219,-0.025,0.000,
P12081;P12081-2;P12081-4;P12081-3,"Histidine--tRNA ligase, cytoplasmic",HARS,0.028,0.286,-0.476,0.000,
P33527;P33527-9;P33527-2;P33527-3;P33527-4;P33527-5;P33527-6;P33527-7;P33527-8,Multidrug resistance-associated protein 1,ABCC1,0.025,0.117,-0.186,0.000,
Q6NZ67,Mitotic-spindle organizing protein 2B,MZT2B,0.022,0.218,0.147,0.000,
P20618,Proteasome subunit beta type-1,PSMB1,0.022,1.227,-0.382,0.000,
P14678;P63162;P14678-2;P63162-2;P14678-3,Small nuclear ribonucleoprotein-associated proteins B and B;Small nuclear ribonucleoprotein-associated protein N,SNRPB;SNRPN,0.017,0.093,-0.443,0.000,
P53992,Protein transport protein Sec24C,SEC24C,0.016,0.225,0.577,0.000,
Q06830,Peroxiredoxin-1,PRDX1,0.016,0.141,0.099,0.000,
Q86TG7;Q86TG7-2,Retrotransposon-derived protein PEG10,PEG10,0.015,0.340,-0.241,0.000,
P12277,Creatine kinase B-type,CKB,0.013,1.162,0.472,0.000,
P31947;P31947-2,14-3-3 protein sigma,SFN,0.012,3.146,-0.128,0.000,
Q15717;Q15717-2,ELAV-like protein 1,ELAVL1,0.008,0.034,-0.276,0.000,
P17858;P17858-2,"ATP-dependent 6-phosphofructokinase, liver type",PFKL,0.002,1.357,-0.596,0.000,
Q99459,Cell division cycle 5-like protein,CDC5L,-0.002,0.551,-0.356,0.000,
P02794,"Ferritin heavy chain;Ferritin heavy chain, N-terminally processed",FTH1,-0.006,4.976,-0.515,0.000,
P60953;P60953-1,Cell division control protein 42 homolog,CDC42,-0.007,0.038,-0.402,0.000,
Q5JSZ5;Q5JSZ5-5,Protein PRRC2B,PRRC2B,-0.009,0.251,-0.420,0.000,
P18077,60S ribosomal protein L35a,RPL35A,-0.011,0.125,-0.184,0.000,
O75340;O75340-2,Programmed cell death protein 6,PDCD6,-0.013,5.139,-0.359,0.000,
Q15436;Q15436-2,Protein transport protein Sec23A,SEC23A,-0.017,0.048,0.167,0.000,
O00115;O00115-2,Deoxyribonuclease-2-alpha,DNASE2,-0.018,1.412,-0.691,0.000,
Q5HYK7;Q5HYK7-3;Q5HYK7-2;Q5HYK7-5;Q5HYK7-4,SH3 domain-containing protein 19,SH3D19,-0.018,0.879,-0.374,0.000,
Q16181;Q16181-2,Septin-7,39326,-0.019,0.351,-0.143,0.000,
P10253,Lysosomal alpha-glucosidase;76 kDa lysosomal alpha-glucosidase;70 kDa lysosomal alpha-glucosidase,GAA,-0.020,1.283,-0.343,0.000,
Q99613;Q99613-2;B5ME19,Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein,EIF3C;EIF3CL,-0.023,0.006,-0.040,0.000,
Q9BXP5;Q9BXP5-4;Q9BXP5-2;Q9BXP5-3;Q9BXP5-5,Serrate RNA effector molecule homolog,SRRT,-0.024,6.174,-0.030,0.000,
Q96MX6;Q96MX6-2,WD repeat-containing protein 92,WDR92,-0.024,0.073,-0.540,0.000,
P31942;P31942-2;P31942-3;P31942-4,Heterogeneous nuclear ribonucleoprotein H3,HNRNPH3,-0.026,0.009,-0.724,0.000,
Q9P0V9;Q9P0V9-2;Q9P0V9-3,Septin-10,40422,-0.031,0.339,0.116,0.000,
Q8NHP8;Q8NHP8-2,Putative phospholipase B-like 2;Putative phospholipase B-like 2 32 kDa form;Putative phospholipase B-like 2 45 kDa form,PLBD2,-0.032,0.559,0.130,0.000,
Q8IVS2,"Malonyl-CoA-acyl carrier protein transacylase, mitochondrial",MCAT,-0.034,1.070,-0.320,0.000,
Q9Y5X1,Sorting nexin-9,SNX9,-0.037,0.505,-0.018,0.000,
Q13347,Eukaryotic translation initiation factor 3 subunit I,EIF3I,-0.038,0.017,-0.077,0.000,
Q9UL46,Proteasome activator complex subunit 2,PSME2,-0.040,0.182,0.160,0.000,
Q15434,"RNA-binding motif, single-stranded-interacting protein 2",RBMS2,-0.042,1.285,-0.221,0.000,
Q9H089,Large subunit GTPase 1 homolog,LSG1,-0.043,0.047,0.066,0.000,
Q9HAU5,Regulator of nonsense transcripts 2,UPF2,-0.056,0.158,-0.410,0.000,
Q92896;Q92896-2;Q92896-3,Golgi apparatus protein 1,GLG1,-0.059,0.087,-0.122,0.000,
P19784,Casein kinase II subunit alpha,CSNK2A2,-0.060,1.980,0.048,0.000,
P55145,Mesencephalic astrocyte-derived neurotrophic factor,MANF,-0.062,0.269,-0.401,0.000,
P55884;P55884-2,Eukaryotic translation initiation factor 3 subunit B,EIF3B,-0.064,0.013,-0.322,0.000,
O75964,"ATP synthase subunit g, mitochondrial",ATP5L,-0.065,0.228,-0.788,0.000,
O60664;O60664-4;O60664-3;O60664-2,Perilipin-3,PLIN3,-0.067,0.397,-0.440,0.000,
Q14566,DNA replication licensing factor MCM6,MCM6,-0.070,1.234,-0.475,0.000,
P28072,Proteasome subunit beta type-6,PSMB6,-0.073,0.513,-0.056,0.000,
Q14344;Q14344-2,Guanine nucleotide-binding protein subunit alpha-13,GNA13,-0.075,1.772,-0.235,0.000,
Q9H7D0,Dedicator of cytokinesis protein 5,DOCK5,-0.076,0.013,-0.734,0.000,
P49770,Translation initiation factor eIF-2B subunit beta,EIF2B2,-0.079,0.109,-0.683,0.000,
Q9NRW3,DNA dC->dU-editing enzyme APOBEC-3C,APOBEC3C,-0.079,0.141,-0.752,0.000,
Q86W92;Q86W92-4;Q86W92-3,Liprin-beta-1,PPFIBP1,-0.081,0.367,-0.534,0.000,
Q5T7V8;Q5T7V8-3;Q5T7V8-4;Q5T7V8-2,RAB6-interacting golgin,GORAB,-0.083,0.832,-0.013,0.000,
Q96C36,Pyrroline-5-carboxylate reductase 2,PYCR2,-0.084,0.584,-0.554,0.000,
Q92841;Q92841-3;Q92841-1;Q92841-2,Probable ATP-dependent RNA helicase DDX17,DDX17,-0.086,0.007,-0.653,0.000,
Q96HS1;Q96HS1-2,"Serine/threonine-protein phosphatase PGAM5, mitochondrial",PGAM5,-0.089,0.063,-0.943,0.000,
O60427;O60427-2,Fatty acid desaturase 1,FADS1,-0.091,0.046,0.251,0.000,
Q13618;Q13618-2;Q13618-3,Cullin-3,CUL3,-0.092,0.302,-0.437,0.000,
Q9UP95;Q9UP95-2;Q9UP95-5;Q9UP95-6;Q9UP95-3;Q9UP95-7;Q9UP95-4,Solute carrier family 12 member 4,SLC12A4,-0.094,0.860,0.485,0.000,
Q9BQG0;Q9BQG0-2,Myb-binding protein 1A,MYBBP1A,-0.095,2.973,-0.109,0.000,
O75955;O75955-2,Flotillin-1,FLOT1,-0.096,0.012,-0.175,0.000,
Q9Y2S7,Polymerase delta-interacting protein 2,POLDIP2,-0.099,0.014,-0.817,0.000,
O43837;O43837-2,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",IDH3B,-0.101,0.005,-0.372,0.000,
P25391,Laminin subunit alpha-1,LAMA1,-0.101,0.498,-0.350,0.000,
O75844,CAAX prenyl protease 1 homolog,ZMPSTE24,-0.103,0.006,-0.363,0.000,
O95870;O95870-2,Abhydrolase domain-containing protein 16A,ABHD16A,-0.105,0.471,-0.583,0.000,
P78406,mRNA export factor,RAE1,-0.106,0.193,-0.737,0.000,
Q9UHX1;Q9UHX1-3;Q9UHX1-5,Poly(U)-binding-splicing factor PUF60,PUF60,-0.106,0.155,0.230,0.000,
Q8N6M0;Q8N6M0-2,OTU domain-containing protein 6B,OTUD6B,-0.111,0.807,-0.417,0.000,
Q9HC35;Q9HC35-2,Echinoderm microtubule-associated protein-like 4,EML4,-0.111,0.038,-0.573,0.000,
Q14738;Q14738-3;Q14738-2,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform,PPP2R5D,-0.122,5.843,-0.588,0.000,
P51149,Ras-related protein Rab-7a,RAB7A,-0.123,0.024,-0.714,0.000,
P61106,Ras-related protein Rab-14,RAB14,-0.123,0.189,-0.409,0.000,
Q01628,Interferon-induced transmembrane protein 3,IFITM3,-0.128,0.166,-0.052,0.000,
P22695,"Cytochrome b-c1 complex subunit 2, mitochondrial",UQCRC2,-0.132,0.011,-0.103,0.000,
Q9BT22;Q9BT22-2,Chitobiosyldiphosphodolichol beta-mannosyltransferase,ALG1,-0.139,0.059,-0.470,0.000,
O43809,Cleavage and polyadenylation specificity factor subunit 5,NUDT21,-0.140,0.271,-0.358,0.000,
Q68CZ2;Q68CZ2-2,Tensin-3,TNS3,-0.142,3.416,-0.697,0.000,
P22234;P22234-2,Multifunctional protein ADE2;Phosphoribosylaminoimidazole-succinocarboxamide synthase;Phosphoribosylaminoimidazole carboxylase,PAICS,-0.142,0.471,0.252,0.000,
Q9Y617;Q9Y617-2,Phosphoserine aminotransferase,PSAT1,-0.152,3.108,0.430,0.000,
Q9BVP2;Q9BVP2-2,Guanine nucleotide-binding protein-like 3,GNL3,-0.156,0.018,-0.425,0.000,
Q32MZ4;Q32MZ4-3;Q32MZ4-2,Leucine-rich repeat flightless-interacting protein 1,LRRFIP1,-0.158,1.477,-0.497,0.000,
Q9UL25,Ras-related protein Rab-21,RAB21,-0.159,0.046,-0.743,0.000,
P48634;P48634-2;P48634-3;P48634-4,Protein PRRC2A,PRRC2A,-0.169,0.062,-0.114,0.000,
P82930,"28S ribosomal protein S34, mitochondrial",MRPS34,-0.174,0.004,-0.143,0.000,
Q92626;Q92626-2,Peroxidasin homolog,PXDN,-0.177,0.611,-0.043,0.000,
O43172;O43172-2,U4/U6 small nuclear ribonucleoprotein Prp4,PRPF4,-0.185,0.461,-0.243,0.000,
A0AV96;A0AV96-2,RNA-binding protein 47,RBM47,-0.185,0.033,-0.110,0.000,
P26641;P26641-2,Elongation factor 1-gamma,EEF1G,-0.192,0.013,-0.086,0.000,
Q7L7X3;Q7L7X3-3,Serine/threonine-protein kinase TAO1,TAOK1,-0.194,1.155,-0.329,0.000,
O60524;O60524-4;O60524-3;O60524-5,Nuclear export mediator factor NEMF,NEMF,-0.194,0.366,-0.127,0.000,
Q9H8Y8;Q9H8Y8-3;Q9H8Y8-2,Golgi reassembly-stacking protein 2,GORASP2,-0.198,0.087,0.354,0.000,
Q9Y6M5,Zinc transporter 1,SLC30A1,-0.201,0.263,-0.473,0.000,
Q96AE4,Far upstream element-binding protein 1,FUBP1,-0.211,0.002,-0.637,0.000,
Q15631;Q15631-2,Translin,TSN,-0.217,0.225,-0.257,0.000,
P68104;Q5VTE0;P68104-2,Elongation factor 1-alpha 1;Putative elongation factor 1-alpha-like 3,EEF1A1;EEF1A1P5,-0.232,0.143,-0.409,0.000,
Q8N766;Q8N766-2;Q8N766-4,ER membrane protein complex subunit 1,EMC1,-0.232,0.059,-0.022,0.000,
Q8N6H7;Q8N6H7-2;Q8N6H7-3,ADP-ribosylation factor GTPase-activating protein 2,ARFGAP2,-0.234,0.097,-0.376,0.000,
Q15907,Ras-related protein Rab-11B,RAB11B,-0.234,0.003,-0.859,0.000,
Q9P2R7;Q9P2R7-2,"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial",SUCLA2,-0.234,0.148,-0.627,0.000,
Q14683,Structural maintenance of chromosomes protein 1A,SMC1A,-0.234,0.264,-0.412,0.000,
P82675,"28S ribosomal protein S5, mitochondrial",MRPS5,-0.245,1.487,-0.435,0.000,
Q9NVA2;Q9NVA2-2,Septin-11,40787,-0.246,0.591,-0.322,0.000,
P06241;P06241-3,Tyrosine-protein kinase Fyn,FYN,-0.247,0.137,-0.243,0.000,
P15291;P15291-2,"Beta-1,4-galactosyltransferase 1;Lactose synthase A protein;N-acetyllactosamine synthase;Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase;Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase;Processed beta-1,4-galactosyltransferase 1",B4GALT1,-0.258,1.000,-0.733,0.000,
Q86SF2,N-acetylgalactosaminyltransferase 7,GALNT7,-0.259,0.112,-0.630,0.000,
P54577,"Tyrosine--tRNA ligase, cytoplasmic;Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed",YARS,-0.260,0.314,-0.367,0.000,
Q969X5;Q969X5-2,Endoplasmic reticulum-Golgi intermediate compartment protein 1,ERGIC1,-0.263,0.117,0.560,0.000,
P29144,Tripeptidyl-peptidase 2,TPP2,-0.276,0.245,-0.913,0.000,
Q02818,Nucleobindin-1,NUCB1,-0.278,0.067,-0.832,0.000,
P84095,Rho-related GTP-binding protein RhoG,RHOG,-0.278,0.061,-0.488,0.000,
Q14527;Q14527-2,Helicase-like transcription factor,HLTF,-0.281,0.094,-0.738,0.000,
Q9BWF3;Q9BWF3-4;Q9BWF3-3;Q9BWF3-2,RNA-binding protein 4,RBM4,-0.282,0.157,-0.519,0.000,
Q969H8,Myeloid-derived growth factor,MYDGF,-0.292,0.185,0.629,0.000,
P36551,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial",CPOX,-0.293,0.079,-0.606,0.000,
P13489,Ribonuclease inhibitor,RNH1,-0.293,2.817,0.410,0.000,
Q92879-4,CUGBP Elav-like family member 1,CELF1,-0.295,0.021,-0.129,0.000,
P23919;P23919-2,Thymidylate kinase,DTYMK,-0.298,0.137,-0.364,0.000,
Q53EP0;Q53EP0-2,Fibronectin type III domain-containing protein 3B,FNDC3B,-0.301,0.107,-0.737,0.000,
Q9P265,Disco-interacting protein 2 homolog B,DIP2B,-0.302,0.028,-0.121,0.000,
P15531;P15531-2,Nucleoside diphosphate kinase A,NME1,-0.304,0.170,-0.182,0.000,
P12004,Proliferating cell nuclear antigen,PCNA,-0.312,0.762,-0.395,0.000,
Q9NW13;Q9NW13-2,RNA-binding protein 28,RBM28,-0.316,0.352,-0.692,0.000,
Q9Y4W6,AFG3-like protein 2,AFG3L2,-0.317,0.151,-0.751,0.000,
O94763;O94763-3;O94763-2,Unconventional prefoldin RPB5 interactor 1,URI1,-0.327,3.405,-0.716,0.000,
P61960;P61960-2,Ubiquitin-fold modifier 1,UFM1,-0.344,0.502,-0.594,0.000,
P59998;P59998-3;P59998-4,Actin-related protein 2/3 complex subunit 4,ARPC4,-0.356,0.220,-0.292,0.000,
P32322;P32322-3,"Pyrroline-5-carboxylate reductase 1, mitochondrial",PYCR1,-0.370,0.204,-0.881,0.000,
Q8IXI2-2,Mitochondrial Rho GTPase 1,RHOT1,-0.370,0.362,-0.906,0.000,
Q9UQ90,Paraplegin,SPG7,-0.373,22.929,-0.237,0.000,
P08574,"Cytochrome c1, heme protein, mitochondrial",CYC1,-0.379,0.134,-0.629,0.000,
O94919,Endonuclease domain-containing 1 protein,ENDOD1,-0.388,0.555,-0.444,0.000,
Q92544,Transmembrane 9 superfamily member 4,TM9SF4,-0.390,0.148,-0.898,0.000,
Q9BPX5,Actin-related protein 2/3 complex subunit 5-like protein,ARPC5L,-0.397,0.191,-0.442,0.000,
P09669,Cytochrome c oxidase subunit 6C,COX6C,-0.397,0.012,-0.622,0.000,
Q9H0U4,Ras-related protein Rab-1B,RAB1B,-0.399,0.017,0.123,0.000,
P13073,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",COX4I1,-0.400,0.051,-0.976,0.000,
Q6PIU2;Q6PIU2-2;Q6PIU2-3,Neutral cholesterol ester hydrolase 1,NCEH1,-0.413,0.199,-0.341,0.000,
Q9BW92;Q9BW92-2,"Threonine--tRNA ligase, mitochondrial",TARS2,-0.416,0.811,-0.412,0.000,
P11388;P11388-2;P11388-3;P11388-4,DNA topoisomerase 2-alpha,TOP2A,-0.421,0.758,-0.099,0.000,
O75128;O75128-2;O75128-3;O75128-7;O75128-6,Protein cordon-bleu,COBL,-0.428,0.133,-0.829,0.000,
P61604,"10 kDa heat shock protein, mitochondrial",HSPE1,-0.435,0.095,-0.962,0.000,
O95202,"LETM1 and EF-hand domain-containing protein 1, mitochondrial",LETM1,-0.436,0.007,-0.672,0.000,
Q99543;Q99543-2,"DnaJ homolog subfamily C member 2;DnaJ homolog subfamily C member 2, N-terminally processed",DNAJC2,-0.446,0.012,0.140,0.000,
