UniProt Accession for Protein Group,UniProt Protein Description,Peptides,PSMs,Protein Coverage (%),Normalized TMT 10-plex reporter ion distribution,,,,,,,,,
Q3UHH2-2,Isoform 2 of Solute carrier family 22 member 23 GN=Slc22a23 - [S22AN_MOUSE],1,1,2.5,0.004,0.162,0.175,0.189,0.180,0.159,0.081,0.030,0.004,0.016
Q3UHK6-3,Isoform 3 of Teneurin-4 GN=Tenm4 - [TEN4_MOUSE],1,1,0.4,0.231,0.104,0.120,0.130,0.116,0.119,0.076,0.034,0.028,0.043
Q3UIR3-2,Isoform 2 of E3 ubiquitin-protein ligase DTX3L GN=Dtx3l - [DTX3L_MOUSE],1,1,1.4,0.122,0.049,0.029,0.023,0.027,0.070,0.050,0.058,0.337,0.236
Q3UJ81,Nuclear envelope phosphatase-regulatory subunit 1 GN=Cnep1r1 PE=2 SV=1 - [NEPR1_MOUSE],1,1,12.0,0.000,0.044,0.084,0.159,0.180,0.272,0.096,0.098,0.050,0.016
Q3UJK4,GTP-binding protein 2 GN=Gtpbp2 PE=2 SV=1 - [GTPB2_MOUSE],1,1,2.0,0.232,0.106,0.055,0.146,0.094,0.090,0.043,0.034,0.031,0.169
Q3UJP5,Protein C8orf37 homolog PE=1 SV=1 - [CH037_MOUSE],1,1,5.7,0.466,0.079,0.180,0.099,0.074,0.086,0.016,0.000,0.000,0.000
Q3UK10,B9 domain-containing protein 2 GN=B9d2 PE=1 SV=2 - [B9D2_MOUSE],1,1,12.0,0.007,0.134,0.125,0.135,0.173,0.160,0.178,0.037,0.028,0.022
Q3ULA2-2,Isoform 2 of F-box/WD repeat-containing protein 1A GN=Btrc - [FBW1A_MOUSE],1,1,2.8,0.059,0.140,0.105,0.150,0.149,0.136,0.093,0.040,0.058,0.070
Q3UM29,Conserved oligomeric Golgi complex subunit 7 GN=Cog7 PE=2 SV=1 - [COG7_MOUSE],1,1,1.4,0.117,0.085,0.068,0.072,0.085,0.088,0.131,0.146,0.095,0.114
Q3UMB5,Smith-Magenis syndrome chromosomal region candidate gene 8 protein homolog GN=Smcr8 PE=1 SV=2 - [SMCR8_MOUSE],1,1,1.1,0.150,0.088,0.135,0.152,0.132,0.116,0.097,0.054,0.021,0.055
Q3UMQ8,H/ACA ribonucleoprotein complex non-core subunit NAF1 GN=Naf1 PE=1 SV=2 - [NAF1_MOUSE],1,1,2.0,0.485,0.049,0.080,0.055,0.048,0.067,0.038,0.030,0.063,0.084
Q3UMY5-2,Isoform 2 of Echinoderm microtubule-associated protein-like 4 GN=Eml4 - [EMAL4_MOUSE],1,1,1.3,0.231,0.064,0.102,0.079,0.092,0.076,0.036,0.071,0.071,0.178
Q3UN04,Ubiquitin carboxyl-terminal hydrolase 30 GN=Usp30 PE=2 SV=1 - [UBP30_MOUSE],1,1,5.2,0.008,0.009,0.023,0.027,0.030,0.169,0.258,0.307,0.074,0.096
Q3UNZ8,Quinone oxidoreductase-like protein 2 PE=2 SV=1 - [QORL2_MOUSE],1,1,2.9,0.001,0.036,0.036,0.038,0.072,0.129,0.288,0.260,0.035,0.104
Q3UQN2,FCH domain only protein 2 GN=Fcho2 PE=1 SV=1 - [FCHO2_MOUSE],1,1,1.9,0.134,0.131,0.124,0.140,0.118,0.161,0.092,0.058,0.007,0.036
Q3UQU0,Bromodomain-containing protein 9 GN=Brd9 PE=2 SV=1 - [BRD9_MOUSE],1,1,1.2,0.173,0.014,0.037,0.022,0.017,0.030,0.035,0.066,0.476,0.131
Q3URD3-5,Isoform 5 of Sarcolemmal membrane-associated protein GN=Slmap - [SLMAP_MOUSE],1,1,1.5,0.115,0.055,0.105,0.124,0.156,0.230,0.103,0.069,0.020,0.022
Q3US41-4,Isoform 4 of Epithelial splicing regulatory protein 1 GN=Esrp1 - [ESRP1_MOUSE],1,1,6.4,0.183,0.032,0.046,0.044,0.047,0.053,0.055,0.046,0.275,0.219
Q3UTD9,Small integral membrane protein 15 GN=Smim15 PE=2 SV=1 - [SIM15_MOUSE],1,1,9.5,0.047,0.016,0.059,0.103,0.087,0.138,0.160,0.203,0.110,0.076
Q3UUJ4-2,Isoform 2 of STE20-related kinase adapter protein alpha GN=Strada - [STRAA_MOUSE],1,1,5.2,0.126,0.165,0.187,0.200,0.125,0.124,0.024,0.016,0.014,0.019
Q3UV17,"Keratin, type II cytoskeletal 2 oral GN=Krt76 PE=2 SV=1 - [K22O_MOUSE]",1,1,1.5,0.110,0.087,0.168,0.045,0.116,0.151,0.138,0.025,0.066,0.093
Q3UVL4,Vacuolar protein sorting-associated protein 51 homolog GN=Vps51 PE=2 SV=2 - [VPS51_MOUSE],1,1,1.4,0.086,0.072,0.082,0.079,0.078,0.094,0.104,0.185,0.117,0.103
Q3UXZ9,Lysine-specific demethylase 5A GN=Kdm5a PE=1 SV=2 - [KDM5A_MOUSE],1,1,0.8,0.043,0.000,0.000,0.000,0.021,0.042,0.137,0.195,0.405,0.157
Q3UZW7,Protein FAM86A GN=Fam86a PE=2 SV=1 - [FA86A_MOUSE],1,1,3.9,0.422,0.096,0.087,0.082,0.104,0.049,0.049,0.030,0.028,0.053
Q3V384,Lactation elevated protein 1 GN=Lace1 PE=2 SV=1 - [LACE1_MOUSE],1,1,2.5,0.000,0.006,0.006,0.022,0.031,0.095,0.358,0.332,0.021,0.130
Q3ZK22-3,Isoform 3 of Vezatin GN=Vezt - [VEZA_MOUSE],1,1,2.6,0.078,0.079,0.101,0.172,0.171,0.212,0.098,0.065,0.006,0.019
Q3ZT31,Sorting nexin-25 GN=Snx25 PE=2 SV=3 - [SNX25_MOUSE],1,1,1.1,0.000,0.037,0.122,0.167,0.198,0.273,0.121,0.054,0.005,0.024
Q4JK59,Methylcytosine dioxygenase TET2 GN=Tet2 PE=1 SV=3 - [TET2_MOUSE],1,1,0.3,0.185,0.015,0.033,0.032,0.028,0.055,0.048,0.061,0.267,0.276
Q4V9W2-2,Isoform 2 of Protein SREK1IP1 GN=Srek1ip1 - [SR1IP_MOUSE],1,1,8.9,0.156,0.068,0.069,0.023,0.078,0.060,0.090,0.073,0.121,0.262
Q4VAC9-2,Isoform 2 of Pleckstrin homology domain-containing family G member 3 GN=Plekhg3 - [PKHG3_MOUSE],1,1,4.3,0.041,0.086,0.106,0.102,0.089,0.195,0.165,0.044,0.138,0.034
Q4VBF2,R3H domain-containing protein 4 GN=R3hdm4 PE=2 SV=1 - [R3HD4_MOUSE],1,1,3.4,0.203,0.049,0.061,0.075,0.071,0.120,0.079,0.077,0.102,0.165
Q4VGL6,Probable E3 ubiquitin-protein ligase Roquin GN=Rc3h1 PE=1 SV=1 - [RC3H1_MOUSE],1,1,1.2,0.124,0.027,0.041,0.042,0.035,0.171,0.042,0.035,0.069,0.413
Q501J2,Protein FAM173A GN=Fam173a PE=2 SV=1 - [F173A_MOUSE],1,1,7.9,0.009,0.070,0.048,0.028,0.102,0.102,0.254,0.158,0.137,0.092
Q505F1,Nuclear receptor subfamily 2 group C member 1 GN=Nr2c1 PE=1 SV=3 - [NR2C1_MOUSE],1,1,1.7,0.070,0.000,0.010,0.013,0.016,0.022,0.094,0.166,0.509,0.101
Q52KB6,C2 domain-containing protein 3 GN=C2cd3 PE=2 SV=2 - [C2CD3_MOUSE],1,1,1.1,0.080,0.000,0.066,0.047,0.000,0.096,0.215,0.121,0.099,0.275
Q571F8,"Glutaminase liver isoform, mitochondrial GN=Gls2 PE=2 SV=2 - [GLSL_MOUSE]",1,1,2.0,0.023,0.016,0.018,0.029,0.033,0.116,0.305,0.280,0.045,0.135
Q58FA4,Transcription factor E2F8 GN=E2f8 PE=1 SV=1 - [E2F8_MOUSE],1,1,1.7,0.055,0.000,0.021,0.000,0.021,0.025,0.147,0.271,0.351,0.109
Q5BKR2,Mitochondrial sodium/hydrogen exchanger 9B2 GN=Slc9b2 PE=2 SV=2 - [SL9B2_MOUSE],1,1,2.7,0.000,0.110,0.135,0.172,0.162,0.252,0.122,0.038,0.009,0.000
Q5BLK4,Terminal uridylyltransferase 7 GN=Zcchc6 PE=1 SV=3 - [TUT7_MOUSE],1,1,1.5,0.169,0.000,0.000,0.000,0.107,0.130,0.000,0.201,0.204,0.189
Q5DTI8,Extended synaptotagmin-3 GN=Esyt3 PE=2 SV=2 - [ESYT3_MOUSE],1,1,0.9,0.016,0.039,0.117,0.134,0.147,0.241,0.142,0.053,0.068,0.043
Q5EBG8,Uncharacterized protein C1orf50 homolog PE=2 SV=1 - [CA050_MOUSE],1,1,5.5,0.569,0.074,0.110,0.082,0.074,0.049,0.015,0.011,0.010,0.006
Q5F285,Transmembrane protein 256 GN=Tmem256 PE=2 SV=1 - [TM256_MOUSE],1,1,24.8,0.000,0.000,0.039,0.110,0.038,0.123,0.221,0.243,0.081,0.145
Q5FWH2,Putative E3 ubiquitin-protein ligase UNKL GN=Unkl PE=2 SV=2 - [UNKL_MOUSE],1,1,3.0,0.025,0.000,0.000,0.027,0.041,0.052,0.048,0.027,0.106,0.675
Q5HZG4,Transcription initiation factor TFIID subunit 3 GN=Taf3 PE=1 SV=2 - [TAF3_MOUSE],1,1,0.8,0.065,0.012,0.022,0.013,0.026,0.045,0.074,0.147,0.384,0.211
Q5HZK1,Centrosomal protein of 44 kDa GN=Cep44 PE=2 SV=1 - [CEP44_MOUSE],1,1,1.8,0.031,0.027,0.070,0.071,0.086,0.116,0.130,0.157,0.190,0.120
Q5IRJ6,Zinc transporter 9 GN=Slc30a9 PE=1 SV=2 - [ZNT9_MOUSE],1,1,4.1,0.000,0.005,0.012,0.017,0.022,0.118,0.313,0.339,0.054,0.119
Q5IXF8,Glucagon-like peptide 2 receptor GN=Glp2r PE=2 SV=2 - [GLP2R_MOUSE],1,1,3.1,0.170,0.124,0.091,0.116,0.163,0.107,0.067,0.030,0.034,0.097
Q5M8N4-2,Isoform 2 of Epimerase family protein SDR39U1 GN=Sdr39u1 - [D39U1_MOUSE],1,1,3.1,0.026,0.027,0.023,0.020,0.053,0.110,0.410,0.158,0.050,0.122
Q5M9N4,Phosphatidylinositol N-acetylglucosaminyltransferase subunit H GN=Pigh PE=2 SV=1 - [PIGH_MOUSE],1,1,5.3,0.003,0.043,0.075,0.122,0.160,0.316,0.118,0.113,0.032,0.019
Q5NCQ5,Diphthamide biosynthesis protein 1 GN=Dph1 PE=1 SV=1 - [DPH1_MOUSE],1,1,7.8,0.367,0.091,0.117,0.108,0.091,0.087,0.044,0.035,0.018,0.043
Q5NCX5-2,Isoform 2 of Neuralized-like protein 4 GN=Neurl4 - [NEUL4_MOUSE],1,1,0.7,0.029,0.043,0.096,0.121,0.165,0.214,0.137,0.084,0.046,0.065
Q5PR73,GTP-binding protein Di-Ras2 GN=Diras2 PE=2 SV=1 - [DIRA2_MOUSE],1,1,5.5,0.000,0.011,0.008,0.011,0.020,0.107,0.331,0.345,0.098,0.068
Q5PRF0,HEAT repeat-containing protein 5A GN=Heatr5a PE=2 SV=2 - [HTR5A_MOUSE],1,1,0.4,0.259,0.072,0.076,0.078,0.084,0.068,0.093,0.089,0.084,0.097
Q5PT53-3,Isoform 3 of Sodium/bile acid cotransporter 7 GN=Slc10a7 - [NTCP7_MOUSE],1,1,3.2,0.006,0.044,0.071,0.149,0.148,0.295,0.135,0.103,0.032,0.018
Q5RJ54,Zinc finger protein 187 GN=Znf187 PE=2 SV=1 - [ZN187_MOUSE],1,1,1.9,0.169,0.018,0.035,0.026,0.033,0.055,0.051,0.051,0.384,0.178
Q5RJY2,G2/M phase-specific E3 ubiquitin-protein ligase GN=G2e3 PE=2 SV=2 - [G2E3_MOUSE],1,1,1.1,0.034,0.022,0.039,0.037,0.028,0.048,0.105,0.232,0.360,0.095
Q5SUA5,Unconventional myosin-Ig GN=Myo1g PE=2 SV=1 - [MYO1G_MOUSE],1,1,1.0,0.014,0.076,0.098,0.121,0.238,0.196,0.156,0.069,0.015,0.017
Q5SW45,Meckel syndrome type 1 protein homolog GN=Mks1 PE=1 SV=1 - [MKS1_MOUSE],1,1,1.8,0.000,0.129,0.119,0.086,0.150,0.307,0.143,0.038,0.029,0.000
Q5U430-3,Isoform 3 of E3 ubiquitin-protein ligase UBR3 GN=Ubr3 - [UBR3_MOUSE],1,1,0.3,0.305,0.082,0.093,0.096,0.101,0.080,0.051,0.030,0.107,0.056
Q60629,Ephrin type-A receptor 5 GN=Epha5 PE=1 SV=2 - [EPHA5_MOUSE],1,1,1.8,0.000,0.273,0.097,0.109,0.212,0.206,0.102,0.000,0.000,0.000
Q60755,Calcitonin receptor GN=Calcr PE=2 SV=1 - [CALCR_MOUSE],1,1,3.8,0.216,0.088,0.070,0.075,0.093,0.089,0.129,0.097,0.091,0.053
Q60765,Cyclic AMP-dependent transcription factor ATF-3 GN=Atf3 PE=2 SV=1 - [ATF3_MOUSE],1,1,3.9,0.184,0.022,0.034,0.028,0.032,0.051,0.048,0.030,0.227,0.345
Q60779,Growth arrest-specific protein 8 GN=Gas8 PE=1 SV=2 - [GAS8_MOUSE],1,1,1.3,0.055,0.234,0.176,0.131,0.175,0.070,0.073,0.033,0.027,0.027
Q60855,Receptor-interacting serine/threonine-protein kinase 1 GN=Ripk1 PE=1 SV=1 - [RIPK1_MOUSE],1,1,1.8,0.259,0.081,0.150,0.100,0.077,0.085,0.059,0.063,0.043,0.082
Q60870,Receptor expression-enhancing protein 5 GN=Reep5 PE=1 SV=1 - [REEP5_MOUSE],1,1,5.4,0.006,0.032,0.127,0.216,0.139,0.314,0.078,0.074,0.003,0.011
Q60876,Eukaryotic translation initiation factor 4E-binding protein 1 GN=Eif4ebp1 PE=1 SV=3 - [4EBP1_MOUSE],1,1,10.3,0.493,0.108,0.098,0.094,0.099,0.046,0.046,0.000,0.008,0.007
Q60967,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 GN=Papss1 PE=2 SV=1 - [PAPS1_MOUSE],1,1,1.9,0.586,0.074,0.147,0.079,0.033,0.031,0.000,0.013,0.010,0.026
Q60976,Jerky protein GN=Jrk PE=2 SV=2 - [JERKY_MOUSE],1,1,1.4,0.035,0.001,0.008,0.004,0.009,0.028,0.076,0.134,0.637,0.067
Q60980,Krueppel-like factor 3 GN=Klf3 PE=1 SV=1 - [KLF3_MOUSE],1,1,2.3,0.038,0.009,0.015,0.045,0.022,0.078,0.114,0.155,0.448,0.076
Q60992,Guanine nucleotide exchange factor VAV2 GN=Vav2 PE=1 SV=1 - [VAV2_MOUSE],1,1,3.3,0.128,0.159,0.116,0.116,0.170,0.072,0.080,0.037,0.039,0.083
Q60996-2,Isoform 1 of Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform GN=Ppp2r5c - [2A5G_MOUSE],1,1,1.5,0.144,0.141,0.089,0.090,0.127,0.106,0.123,0.037,0.087,0.057
Q60996-3,Isoform 3 of Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform GN=Ppp2r5c - [2A5G_MOUSE],1,1,1.4,0.137,0.118,0.073,0.070,0.139,0.110,0.128,0.024,0.120,0.080
Q61069,Upstream stimulatory factor 1 GN=Usf1 PE=2 SV=1 - [USF1_MOUSE],1,1,2.3,0.073,0.010,0.016,0.022,0.028,0.041,0.117,0.143,0.455,0.095
Q61176,Arginase-1 GN=Arg1 PE=1 SV=1 - [ARGI1_MOUSE],1,1,2.2,0.106,0.111,0.077,0.095,0.187,0.188,0.182,0.014,0.023,0.016
Q61206,Platelet-activating factor acetylhydrolase IB subunit beta GN=Pafah1b2 PE=1 SV=2 - [PA1B2_MOUSE],1,1,2.6,0.460,0.121,0.104,0.084,0.115,0.050,0.034,0.009,0.011,0.012
Q61321-2,Isoform 2 of Homeobox protein SIX4 GN=Six4 - [SIX4_MOUSE],1,1,5.6,0.077,0.010,0.045,0.020,0.018,0.047,0.080,0.242,0.369,0.091
Q61411,GTPase HRas GN=Hras1 PE=1 SV=2 - [RASH_MOUSE],1,1,6.3,0.012,0.188,0.193,0.198,0.167,0.161,0.054,0.021,0.003,0.003
Q61469-2,Isoform 2 of Lipid phosphate phosphohydrolase 1 GN=Ppap2a - [LPP1_MOUSE],1,1,3.5,0.090,0.163,0.140,0.152,0.212,0.096,0.093,0.019,0.019,0.016
Q61474,RNA-binding protein Musashi homolog 1 GN=Msi1 PE=1 SV=1 - [MSI1H_MOUSE],1,1,1.7,0.118,0.022,0.044,0.054,0.041,0.080,0.063,0.054,0.178,0.347
Q61475,"Complement decay-accelerating factor, GPI-anchored GN=Cd55 PE=2 SV=2 - [DAF1_MOUSE]",1,1,4.4,0.000,0.232,0.128,0.174,0.237,0.106,0.083,0.018,0.020,0.004
Q61500,Integral membrane protein 2A GN=Itm2a PE=2 SV=2 - [ITM2A_MOUSE],1,1,2.7,0.022,0.081,0.080,0.150,0.279,0.152,0.127,0.039,0.030,0.040
Q61503,5'-nucleotidase GN=Nt5e PE=1 SV=2 - [5NTD_MOUSE],1,1,3.0,0.000,0.151,0.239,0.243,0.104,0.159,0.081,0.000,0.023,0.000
Q61559,IgG receptor FcRn large subunit p51 GN=Fcgrt PE=1 SV=1 - [FCGRN_MOUSE],1,1,2.5,0.006,0.053,0.101,0.172,0.246,0.258,0.090,0.049,0.015,0.009
Q61595,Kinectin GN=Ktn1 PE=1 SV=1 - [KTN1_MOUSE]|Isoform 11 of Kinectin GN=Ktn1 - [KTN1_MOUSE],1,1,1.7,0.000,0.012,0.064,0.107,0.071,0.453,0.123,0.142,0.011,0.018
Q61908,Cx9C motif-containing protein 4 GN=Cmc4 PE=2 SV=1 - [CMC4_MOUSE],1,1,10.3,0.027,0.008,0.028,0.020,0.033,0.111,0.267,0.289,0.100,0.117
Q62059-4,Isoform V3 of Versican core protein GN=Vcan - [CSPG2_MOUSE],1,1,1.1,0.045,0.046,0.156,0.230,0.205,0.155,0.078,0.050,0.018,0.019
Q62073,Mitogen-activated protein kinase kinase kinase 7 GN=Map3k7 PE=1 SV=1 - [M3K7_MOUSE],1,1,1.7,0.159,0.095,0.125,0.123,0.098,0.130,0.067,0.040,0.038,0.126
Q62083,PRKCA-binding protein GN=Pick1 PE=1 SV=2 - [PICK1_MOUSE],1,1,2.6,0.264,0.074,0.128,0.138,0.106,0.159,0.025,0.048,0.011,0.048
Q62086,Serum paraoxonase/arylesterase 2 GN=Pon2 PE=1 SV=2 - [PON2_MOUSE],1,1,6.8,0.011,0.100,0.053,0.106,0.198,0.215,0.179,0.087,0.029,0.022
Q62093,Serine/arginine-rich splicing factor 2 GN=Srsf2 PE=1 SV=4 - [SRSF2_MOUSE],1,1,7.7,0.453,0.024,0.054,0.015,0.047,0.043,0.062,0.023,0.131,0.146
Q62130,Tyrosine-protein phosphatase non-receptor type 14 GN=Ptpn14 PE=1 SV=2 - [PTN14_MOUSE],1,1,0.7,0.076,0.073,0.056,0.119,0.049,0.253,0.126,0.089,0.083,0.076
Q62136,Tyrosine-protein phosphatase non-receptor type 21 GN=Ptpn21 PE=1 SV=1 - [PTN21_MOUSE],1,1,0.7,0.089,0.140,0.136,0.142,0.116,0.131,0.074,0.046,0.033,0.092
Q62141-1,Isoform 1 of Paired amphipathic helix protein Sin3b GN=Sin3b - [SIN3B_MOUSE],1,1,0.6,0.243,0.062,0.043,0.024,0.037,0.039,0.214,0.039,0.103,0.195
Q62159;Q9QUI0,Rho-related GTP-binding protein RhoC GN=Rhoc PE=1 SV=2 - [RHOC_MOUSE]|Transforming protein RhoA GN=Rhoa PE=1 SV=1 - [RHOA_MOUSE],1,1,18.7,0.068,0.181,0.151,0.187,0.218,0.158,0.020,0.000,0.019,0.000
Q62187,Transcription termination factor 1 GN=Ttf1 PE=1 SV=2 - [TTF1_MOUSE],1,1,1.0,0.129,0.016,0.016,0.066,0.085,0.061,0.133,0.084,0.272,0.137
Q62245,Son of sevenless homolog 1 GN=Sos1 PE=1 SV=2 - [SOS1_MOUSE],1,1,1.4,0.113,0.108,0.085,0.108,0.093,0.123,0.098,0.098,0.026,0.148
Q62277,Synaptophysin GN=Syp PE=1 SV=2 - [SYPH_MOUSE],1,1,2.2,0.005,0.048,0.120,0.188,0.226,0.256,0.097,0.035,0.023,0.003
Q62283,Tetraspanin-7 GN=Tspan7 PE=2 SV=2 - [TSN7_MOUSE],1,1,2.8,0.019,0.117,0.114,0.153,0.254,0.181,0.081,0.013,0.045,0.022
Q62433,Protein NDRG1 GN=Ndrg1 PE=1 SV=1 - [NDRG1_MOUSE],1,1,4.3,0.241,0.115,0.112,0.126,0.169,0.097,0.078,0.025,0.017,0.020
Q62447,Cyclin-C GN=Ccnc PE=2 SV=4 - [CCNC_MOUSE],1,1,3.5,0.153,0.047,0.059,0.047,0.056,0.057,0.052,0.054,0.284,0.191
Q62481,Vacuolar protein sorting-associated protein 72 homolog GN=Vps72 PE=2 SV=2 - [VPS72_MOUSE],1,1,3.0,0.027,0.000,0.000,0.000,0.000,0.025,0.094,0.137,0.557,0.160
Q62523,Zyxin GN=Zyx PE=1 SV=2 - [ZYX_MOUSE],1,1,2.0,0.166,0.149,0.128,0.114,0.113,0.102,0.057,0.025,0.067,0.080
Q640L5,Coiled-coil domain-containing protein 18 GN=Ccdc18 PE=2 SV=1 - [CCD18_MOUSE],1,1,0.8,0.026,0.000,0.026,0.042,0.043,0.134,0.165,0.300,0.103,0.161
Q640P7-2,Isoform 2 of TBCC domain-containing protein 1 GN=Tbccd1 - [TBCC1_MOUSE],1,1,5.6,0.000,0.171,0.164,0.000,0.231,0.158,0.133,0.000,0.000,0.142
Q640Q5,PAB-dependent poly(A)-specific ribonuclease subunit 3 GN=Pan3 PE=2 SV=3 - [PAN3_MOUSE],1,1,1.2,0.234,0.047,0.060,0.052,0.077,0.075,0.071,0.053,0.086,0.246
Q64163-2,Isoform Beta of Transcription factor Dp-2 GN=Tfdp2 - [TFDP2_MOUSE],1,1,3.8,0.170,0.038,0.046,0.044,0.030,0.056,0.090,0.201,0.227,0.098
Q64280,Left-right determination factor 1 GN=Lefty1 PE=2 SV=1 - [LFTY1_MOUSE],1,1,5.2,0.000,0.000,0.056,0.112,0.402,0.163,0.110,0.000,0.083,0.073
Q64314,Hematopoietic progenitor cell antigen CD34 GN=Cd34 PE=1 SV=1 - [CD34_MOUSE],1,1,3.4,0.000,0.088,0.000,0.000,0.086,0.082,0.307,0.386,0.000,0.051
Q64327,Male-enhanced antigen 1 GN=Mea1 PE=2 SV=1 - [MEA1_MOUSE],1,1,7.5,0.418,0.093,0.134,0.109,0.090,0.082,0.027,0.012,0.019,0.016
Q64442,Sorbitol dehydrogenase GN=Sord PE=1 SV=3 - [DHSO_MOUSE],1,1,4.8,0.430,0.087,0.157,0.099,0.084,0.060,0.029,0.006,0.040,0.008
Q64446,Copper-transporting ATPase 2 GN=Atp7b PE=1 SV=2 - [ATP7B_MOUSE],1,1,0.6,0.000,0.042,0.087,0.151,0.220,0.217,0.063,0.140,0.080,0.000
Q64449,C-type mannose receptor 2 GN=Mrc2 PE=1 SV=3 - [MRC2_MOUSE],1,1,0.8,0.000,0.087,0.081,0.177,0.288,0.176,0.109,0.054,0.009,0.019
Q64514,Tripeptidyl-peptidase 2 GN=Tpp2 PE=2 SV=3 - [TPP2_MOUSE],1,1,0.6,0.205,0.114,0.092,0.088,0.122,0.077,0.082,0.064,0.072,0.083
Q64522,Histone H2A type 2-B GN=Hist2h2ab PE=1 SV=3 - [H2A2B_MOUSE],1,1,5.4,0.027,0.010,0.003,0.003,0.008,0.027,0.076,0.127,0.664,0.054
Q66GT5,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1 GN=Ptpmt1 PE=1 SV=1 - [PTPM1_MOUSE],1,1,3.6,0.010,0.038,0.038,0.052,0.107,0.123,0.356,0.140,0.036,0.100
Q66JX5-2,Isoform 2 of FGFR1 oncogene partner GN=Fgfr1op - [FR1OP_MOUSE],1,1,9.5,0.316,0.026,0.058,0.055,0.032,0.043,0.149,0.201,0.121,0.000
Q66JY2-2,Isoform 2 of INO80 complex subunit D GN=Ino80d - [IN80D_MOUSE],1,1,1.0,0.142,0.043,0.000,0.000,0.051,0.065,0.093,0.191,0.314,0.100
Q66L44,Protein Dos GN=Dos PE=1 SV=3 - [DOS_MOUSE],1,1,1.0,0.002,0.185,0.124,0.172,0.233,0.143,0.099,0.016,0.012,0.012
Q68FH0,Plakophilin-4 GN=Pkp4 PE=1 SV=1 - [PKP4_MOUSE],1,1,1.8,0.000,0.148,0.144,0.180,0.196,0.142,0.169,0.000,0.021,0.000
Q69ZA1,Cyclin-dependent kinase 13 GN=Cdk13 PE=1 SV=3 - [CDK13_MOUSE],1,1,0.7,0.312,0.000,0.000,0.000,0.022,0.039,0.030,0.031,0.251,0.315
Q69ZA1-2,Isoform 2 of Cyclin-dependent kinase 13 GN=Cdk13 - [CDK13_MOUSE],1,1,0.8,0.278,0.010,0.030,0.009,0.025,0.052,0.033,0.029,0.270,0.263
Q69ZP3-3,Isoform 3 of Probable hydrolase PNKD GN=Pnkd - [PNKD_MOUSE],1,1,2.8,0.009,0.086,0.087,0.122,0.158,0.224,0.122,0.101,0.047,0.043
Q6A085,Zinc finger protein 182 GN=Znf182 PE=2 SV=1 - [ZN182_MOUSE]|Isoform 2 of Zinc finger and SCAN domain-containing protein 20 GN=Zscan20 - [ZSC20_MOUSE]|Zinc finger protein 629 GN=Znf629 PE=2 SV=2 - [ZN629_MOUSE],1,1,0.7,0.076,0.009,0.023,0.023,0.026,0.053,0.089,0.167,0.411,0.122
Q6A0D4,Raftlin GN=Rftn1 PE=1 SV=4 - [RFTN1_MOUSE],1,1,1.6,0.014,0.207,0.164,0.183,0.171,0.154,0.058,0.011,0.021,0.018
Q6DI86,FAST kinase domain-containing protein 1 GN=Fastkd1 PE=2 SV=1 - [FAKD1_MOUSE],1,1,1.3,0.006,0.013,0.018,0.028,0.024,0.104,0.313,0.307,0.053,0.135
Q6DIA9-2,Isoform 2 of F-box only protein 27 GN=Fbxo27 - [FBX27_MOUSE],1,1,2.5,0.009,0.165,0.092,0.130,0.224,0.126,0.136,0.047,0.027,0.043
Q6DID7,Protein wntless homolog GN=Wls PE=1 SV=1 - [WLS_MOUSE],1,1,1.7,0.006,0.069,0.099,0.159,0.179,0.231,0.100,0.086,0.030,0.040
Q6DTY7-2,"Isoform 2 of 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4 GN=Pfkfb4 - [F264_MOUSE]",1,1,3.6,0.451,0.101,0.094,0.069,0.050,0.056,0.045,0.036,0.019,0.080
Q6GQT1,Alpha-2-macroglobulin-P GN=A2mp PE=2 SV=2 - [A2MP_MOUSE],1,1,1.6,0.000,0.038,0.107,0.203,0.197,0.261,0.105,0.075,0.000,0.015
Q6GQW0,Ankyrin repeat and BTB/POZ domain-containing protein BTBD11 GN=Btbd11 PE=2 SV=2 - [BTBDB_MOUSE],1,1,2.7,0.093,0.220,0.072,0.101,0.179,0.101,0.057,0.042,0.058,0.078
Q6IFZ9,"Keratin, type II cytoskeletal 74 GN=Krt74 PE=2 SV=1 - [K2C74_MOUSE]",1,1,2.4,0.087,0.159,0.087,0.061,0.110,0.182,0.103,0.037,0.063,0.111
Q6IQX7,Chondroitin sulfate synthase 2 GN=Chpf PE=2 SV=1 - [CHSS2_MOUSE],1,1,0.9,0.014,0.036,0.054,0.059,0.141,0.142,0.226,0.165,0.062,0.100
Q6IR37,Probable palmitoyltransferase ZDHHC24 GN=Zdhhc24 PE=2 SV=2 - [ZDH24_MOUSE],1,1,2.8,0.000,0.060,0.066,0.094,0.221,0.182,0.172,0.074,0.048,0.083
Q6IRU7,Centrosomal protein of 78 kDa GN=Cep78 PE=2 SV=1 - [CEP78_MOUSE],1,1,1.5,0.144,0.072,0.052,0.049,0.099,0.061,0.138,0.119,0.124,0.142
