Lead gene name,Canonical lead protein ID,Majority protein IDs,Protein names,Marker protein?,Prediction,SVM score,Prediction confidence class,Subcellular distribution,Median copy number,Max copy number,Min copy number,Abundance percentile (copy numbers),Median cellular concentration [nM],Max cellular concentration [nM],Min cellular concentration [nM],ppm of total cell mass,Average Nuclear Fraction,Average Membrane,Average Cytosol Fraction,MSMS count,MW (kD)
Fam111a,Q9D2L9,Q9D2L9;D3YYD2,Protein FAM111A,,,,,Mostly Organellar,11,11,11,0.3%,0.0,0.0,0.0,0.0,0%,100%,0%,1,69.948
Vwf,E9QPU1,E9QPU1;Q8CIZ8,von Willebrand factor;von Willebrand antigen 2,,,,,,11,77,2,0.3%,0.0,0.3,0.0,0.1,,,,6,309.15
,A3KGF9,A3KGF9,Uncharacterized protein C15orf52 homolog,,,,,Mostly Organellar,10,22,5,0.3%,0.0,0.1,0.0,0.0,0%,100%,0%,1,58.688
Col11a1,E9PVT8,E9PVT8;Q61245-2;Q61245,Collagen alpha-1(XI) chain,,,,,Mostly Organellar,9,85,7,0.2%,0.0,0.3,0.0,0.0,0%,100%,0%,1,61.742
Grm5,Q3UVX5,Q3UVX5;E9QMC2;F6WSV0;F6YJ89,Metabotropic glutamate receptor 5,,,,,Mostly Organellar,9,32,3,0.2%,0.0,0.1,0.0,0.0,0%,100%,0%,2,131.86
Plekhh3,Q8VCE9,Q8VCE9;A2A4L0;Q8VCE9-3;Q8VCE9-4;Q8VCE9-2,Pleckstrin homology domain-containing family H member 3,,,,,Mostly Organellar,10,10,10,0.2%,0.0,0.0,0.0,0.0,0%,100%,0%,1,85.841
Ppp1r13l,Q5I1X5,Q5I1X5;D3YXE7;D3Z5Q5;D3YVH2;Q3TCU2,RelA-associated inhibitor,,,,,Mostly Organellar,10,12,3,0.2%,0.0,0.0,0.0,0.0,0%,100%,0%,1,88.975
Rnf180,Q3U827,Q3U827;Q3U827-4;Q3U827-3;Q3U827-2,E3 ubiquitin-protein ligase RNF180,,,,,Mostly Organellar,9,54,7,0.2%,0.0,0.2,0.0,0.0,0%,100%,0%,3,67.37
Scube1,Q68EF9,Q68EF9;A2A442;Q6NZL8-2;Q6NZL8;Q6NZL8-3,"Signal peptide, CUB and EGF-like domain-containing protein 1",,,,,Mostly Organellar,10,17,5,0.2%,0.0,0.1,0.0,0.0,0%,100%,0%,1,99.465
Tpp2,Q64514,Q64514;A0A087WRC0,Tripeptidyl-peptidase 2,,,,,Mostly Organellar,10,11,9,0.2%,0.0,0.0,0.0,0.0,0%,100%,0%,2,139.88
Adcy3,Q8VHH7,Q8VHH7;B8JK56,Adenylate cyclase type 3,,,,,Mostly Organellar,7,9,6,0.1%,0.0,0.0,0.0,0.0,0%,100%,0%,1,129.08
Arhgef12,F8VQN6,F8VQN6,,,,,,Mostly Organellar,8,10,6,0.1%,0.0,0.0,0.0,0.0,0%,100%,0%,1,172.47
Ccser2,Q3UHI0,Q3UHI0;Q3UHI0-2;S4R170;S4R211;S4R2U3;A0A0R4J2A7,Serine-rich coiled-coil domain-containing protein 2,,,,,Mostly Organellar,9,13,8,0.1%,0.0,0.0,0.0,0.0,0%,100%,0%,1,92.931
Cep85l,E9QA61,E9QA61,,,,,,Mostly Organellar,8,8,8,0.1%,0.0,0.0,0.0,0.0,0%,100%,0%,1,91.83
Lrp5,Q91VN0,Q91VN0;H3BL52,Low-density lipoprotein receptor-related protein 5,,,,,Mostly Organellar,9,34,2,0.1%,0.0,0.1,0.0,0.0,0%,100%,0%,1,178.88
Mycbp2,Q7TPH6,Q7TPH6,E3 ubiquitin-protein ligase MYCBP2,,,,,Mostly Organellar,8,10,7,0.1%,0.0,0.0,0.0,0.1,0%,100%,0%,1,517.73
Nagpa,Q8BJ48,Q8BJ48;D3Z6C9,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,,,,,Mostly Organellar,7,13,4,0.1%,0.0,0.1,0.0,0.0,0%,100%,0%,3,56.043
Simc1,E9Q6E9,E9Q6E9;E9PYI6,,,,,,Organellar with Cytosolic pool,8,120,3,0.1%,0.0,0.4,0.0,0.0,0%,68%,32%,2,146.62
Fbxo46,Q8BG80,Q8BG80,F-box only protein 46,,,,,Mostly Organellar,6,15,2,0.0%,0.0,0.1,0.0,0.0,0%,100%,0%,1,65.293
Grid2,Q61625,Q61625,"Glutamate receptor ionotropic, delta-2",,,,,Mostly Organellar,4,4,4,0.0%,0.0,0.0,0.0,0.0,0%,100%,0%,1,113.08
Kcnh7,Q9ER47,Q9ER47,Potassium voltage-gated channel subfamily H member 7,,,,,Mostly Organellar,6,7,6,0.0%,0.0,0.0,0.0,0.0,0%,100%,0%,1,135.06
Kif16b,B1AVY7,B1AVY7,Kinesin-like protein KIF16B,,,,,Mostly Organellar,5,12,2,0.0%,0.0,0.0,0.0,0.0,0%,100%,0%,4,150.06
Macf1,F6XCT0,F6XCT0,,,,,,Mostly Organellar,7,10,5,0.0%,0.0,0.0,0.0,0.0,0%,100%,0%,1,211.68
Piezo1,E2JF22,E2JF22;F7AC58;E9PUQ9,Piezo-type mechanosensitive ion channel component 1;Piezo-type mechanosensitive ion channel component,,,,,Mostly Organellar,2,3,2,0.0%,0.0,0.0,0.0,0.0,0%,100%,0%,1,292
Piezo2,Q8CD54,Q8CD54;S4R1C9;S4R2S0;E9QNW4;Q8CD54-2;S4R2R6;Q8CD54-3,Piezo-type mechanosensitive ion channel component 2;Piezo-type mechanosensitive ion channel component,,,,,Organellar with Cytosolic pool,6,21,2,0.0%,0.0,0.1,0.0,0.0,0%,74%,26%,5,325.62
Sema6b,O54951,O54951;Q3UTK5,Semaphorin-6B,,,,,Mostly Organellar,6,10,4,0.0%,0.0,0.0,0.0,0.0,0%,100%,0%,2,95.466
Sphkap,Q6NSW3,Q6NSW3;Q6NSW3-2;Q6NSW3-4;E9PUC4;Q6NSW3-3;A0A0R4J1Y6,A-kinase anchor protein SPHKAP,,,,,Mostly Organellar,5,6,4,0.0%,0.0,0.0,0.0,0.0,0%,100%,0%,1,185.09
Stxbp5l,Q5DQR4,Q5DQR4;Q5DQR4-6;Q5DQR4-5;Q5DQR4-4;Q5DQR4-2;Q5DQR4-3;Q5DQR4-7,Syntaxin-binding protein 5-like,,,,,Mostly Organellar,5,5,5,0.0%,0.0,0.0,0.0,0.0,0%,100%,0%,1,131.84
Actb,P60710,P60710;B2RRX1;E9Q1F2,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed",,,,,,"311,802","523,266","72,070",92.1%,1241.6,1941.4,251.3,251.5,,,,103,41.736
Sec61b,Q9CQS8,Q9CQS8;E9PW43,Protein transport protein Sec61 subunit beta,,,,,,"229,155","327,630","173,485",90.3%,824.3,1341.1,672.0,44.1,,,,57,9.9583
Eef1d,Q80T06,Q80T06;P57776;E9QN08;D3YUQ9,Elongation factor 1-delta,,,,,,"159,039","176,515","69,073",87.6%,582.7,659.1,282.7,96.2,,,,32,31.292
Cox7c,P17665,P17665,"Cytochrome c oxidase subunit 7C, mitochondrial",,,,,Mostly Organellar,"135,549","148,152","123,646",86.1%,512.1,573.9,458.7,19.2,11%,89%,0%,38,7.3325
Lamtor3,O88653,O88653;Q542I7;A0A0G2JGQ3,Ragulator complex protein LAMTOR3,,,,,Organellar with Cytosolic pool,"131,513","224,970","31,080",85.9%,473.1,920.9,120.4,34.4,2%,34%,63%,71,13.553
Hnrnpk,P61979,P61979-2;P61979;H3BLL4;D3YWG1;H3BK96,Heterogeneous nuclear ribonucleoprotein K,,,,,Nuclear and Cytosolic,"120,971","203,773","46,796",85.1%,457.1,789.3,173.6,119.3,64%,4%,32%,22,51.028
Rtn1,Q7M6W1,Q7M6W1;A3QM89,Reticulon,,,,,,"113,902","122,471","102,294",84.6%,427.5,480.8,379.5,51.9,,,,115,23.557
Ndufb3,Q9CQZ6,Q9CQZ6,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,,,,,,"112,214","125,630","96,333",84.4%,412.4,466.1,394.3,25.4,,,,50,11.692
Tomm5,B1AXP6,B1AXP6;B1AXP6-2;B1AXP6-3;B1AXP6-4,Mitochondrial import receptor subunit TOM5 homolog,,,,,Mostly Organellar,"102,913","158,180","83,307",83.6%,388.8,586.9,322.7,12.0,2%,98%,0%,51,6.0372
Arl1,P61211,P61211;Q14AC7;F8WIB1,ADP-ribosylation factor-like protein 1,,,,,Organellar with Cytosolic pool,"66,839","83,390","48,810",79.4%,240.4,341.3,189.1,26.4,5%,7%,88%,90,20.411
Exosc6,Q8BTW3,Q8BTW3,Exosome complex component MTR3,,,,,Nuclear and Cytosolic,"66,208","76,003","57,543",79.3%,239.9,311.1,219.7,36.3,56%,5%,39%,92,28.37
Reep5,G3X8R0,G3X8R0;Q60870,Receptor expression-enhancing protein;Receptor expression-enhancing protein 5,,,,,,"62,003","99,879","42,677",78.6%,234.3,386.9,158.3,25.7,,,,50,21.447
Sec61g,Q5SWJ8,Q5SWJ8;P60060;G3UWH0,Protein transport protein Sec61 subunit gamma,,,,,,"53,118","75,629","38,926",77.1%,211.5,280.6,135.7,7.9,,,,82,7.7412
Mrps6,P58064,P58064;Q3TLQ4,"28S ribosomal protein S6, mitochondrial",,,,,,"45,413","49,637","29,257",75.2%,166.9,184.2,119.8,12.6,,,,53,14.308
Rtn3,Q9ES97,Q9ES97-3,Reticulon-3,,,,,,"43,002","69,084","18,693",74.6%,171.2,240.9,69.4,21.1,,,,57,25.428
Ap1s1,P61967,P61967;D3Z0D6;D3YXN0;D3Z268,AP-1 complex subunit sigma-1A,,,,,Organellar with Cytosolic pool,"40,734","86,075","20,295",74.0%,146.5,352.3,78.6,14.7,0%,16%,84%,72,18.733
Cops7a,Q9CZ04,Q9CZ04;Q9CZ04-2;D3Z440,COP9 signalosome complex subunit 7a,,,,,Nuclear and Cytosolic,"40,956","44,455","37,900",74.0%,151.3,182.0,139.3,23.9,7%,4%,89%,58,30.224
Hnrnpdl,Q9Z130,Q9Z130,Heterogeneous nuclear ribonucleoprotein D-like,,,,,Mostly Nuclear,"32,005","37,107","29,611",70.8%,120.9,143.7,109.9,20.8,92%,5%,3%,49,33.558
Exosc9,Q9JHI7,Q9JHI7;A0A0G2JFV9;D6RGB5,Exosome complex component RRP45,,,,,,"29,956","34,888","24,587",70.0%,114.7,126.0,95.2,28.3,,,,65,48.936
Ostc,Q78XF5,Q78XF5,Oligosaccharyltransferase complex subunit OSTC,,,,,,"29,426","41,941","17,480",69.8%,108.2,155.6,71.6,9.6,,,,49,16.815
Coa3,Q9D2R6,Q9D2R6;E9Q6W2,"Cytochrome c oxidase assembly factor 3 homolog, mitochondrial",,,,,Mostly Organellar,"27,117","31,789","19,562",68.6%,104.4,118.6,72.6,6.3,18%,82%,0%,21,11.987
Psmd4,O35226,O35226-2;O35226-3,26S proteasome non-ATPase regulatory subunit 4,,,,,Organellar with Cytosolic pool,"26,261","40,092","9,419",68.2%,99.6,139.8,38.6,20.8,4%,11%,84%,43,41.046
Mrpl27,Q99N92,Q99N92,"39S ribosomal protein L27, mitochondrial",,,,,Mostly Organellar,"26,126","35,707","11,671",68.1%,98.7,132.5,45.2,8.1,6%,94%,0%,39,15.944
Trappc2l,Q9JME7,Q9JME7,Trafficking protein particle complex subunit 2-like protein,,,,,Organellar with Cytosolic pool,"24,116","35,320","21,237",67.1%,96.0,123.2,78.8,7.5,1%,18%,81%,54,16.018
Hnrnpd,G5E8G0,G5E8G0;G3X9W0,,,,,,Mostly Nuclear,"23,007","45,749","12,796",66.4%,89.7,177.2,44.6,13.6,94%,3%,3%,29,30.608
Mrps26,Q80ZS3,Q80ZS3,"28S ribosomal protein S26, mitochondrial",,,,,Mostly Organellar,"22,694","35,882","17,153",66.2%,83.4,133.1,70.2,10.3,17%,83%,0%,55,23.443
Mcfd2,Q8K5B2,Q8K5B2;D0EW11;D3Z6A4;D3Z1G3,Multiple coagulation factor deficiency protein 2 homolog,,,,,,"22,091","23,034","15,634",65.9%,81.2,85.5,64.0,6.9,,,,45,16.168
Mrps11,Q3U8Y1,Q3U8Y1;Q9DCA2,"28S ribosomal protein S11, mitochondrial",,,,,Mostly Organellar,"21,966","31,641","15,372",65.7%,84.1,114.3,59.5,8.6,16%,84%,0%,50,20.251
Mrpl53,Q9D1H8,Q9D1H8,"39S ribosomal protein L53, mitochondrial",,,,,Mostly Organellar,"21,677","37,578","11,700",65.6%,81.3,141.3,45.3,5.3,8%,92%,0%,52,12.737
Mrpl49,Q9CQ40,Q9CQ40,"39S ribosomal protein L49, mitochondrial",,,,,Mostly Organellar,"20,451","21,617","18,707",64.5%,76.9,84.6,69.4,7.6,15%,85%,0%,47,19.133
Mrpl23,O35972,O35972,"39S ribosomal protein L23, mitochondrial",,,,,Mostly Organellar,"18,271","24,624","13,406",62.6%,69.3,85.9,54.9,6.0,15%,85%,0%,52,17.121
Slc25a24,Q8BMD8,Q8BMD8,Calcium-binding mitochondrial carrier protein SCaMC-1,,,,,,"18,239","26,038","4,307",62.6%,67.0,96.6,17.6,18.6,,,,68,52.901
Gnas,P63094,P63094;Q6R0H7;P63094-3,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short;Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas,,,,,,"17,178","19,876","14,696",61.8%,65.1,81.4,51.2,15.2,,,,52,45.663
Gpx8,Q9D7B7,Q9D7B7,Probable glutathione peroxidase 8,,,,,,"16,714","20,252","11,324",61.3%,60.2,78.3,46.4,7.8,,,,59,24.148
Cog2,Q921L5,Q921L5,Conserved oligomeric Golgi complex subunit 2,,,,,Mostly Cytosolic,"16,302","72,434","13,929",60.9%,61.6,280.6,51.7,25.8,0%,1%,99%,64,82.039
Mrpl16,Q99N93,Q99N93,"39S ribosomal protein L16, mitochondrial",,,,,,"15,625","18,789","14,036",60.3%,60.9,65.5,54.4,8.7,,,,66,28.803
Pls3,B1AX58,B1AX58;Q99K51,Plastin-3,,,,,Mostly Cytosolic,"15,456","17,729","6,734",60.1%,55.6,68.7,27.6,21.4,1%,6%,94%,75,71.745
Hnrnpc,Q9Z204,Q9Z204;Q9Z204-5,Heterogeneous nuclear ribonucleoproteins C1/C2,,,,,,"14,765","36,446","2,502",59.3%,54.3,149.2,9.3,9.8,,,,42,34.384
Trappc1,Q5NCF2,Q5NCF2;Q14BF8;B1ASW5;B1ASW6,Trafficking protein particle complex subunit 1,,,,,,"14,619","25,540","9,894",59.2%,58.2,89.1,36.7,4.8,,,,74,16.881
Mrpl20,Q9CQL4,Q9CQL4;V9GXI7,"39S ribosomal protein L20, mitochondrial",,,,,,"13,631","16,607","10,589",58.1%,50.1,61.6,43.3,4.6,,,,46,17.595
Slc2a1,P17809,P17809,"Solute carrier family 2, facilitated glucose transporter member 1",,,,,,"13,495","17,663","9,302",58.0%,49.5,69.5,36.0,14.1,,,,112,53.984
Tmbim6,Q9D2C7,Q9D2C7;E0CZE8;E0CXR0;E0CX98,Bax inhibitor 1,,,,,,"13,050","17,766","8,908",57.4%,50.7,62.3,34.5,6.7,,,,40,26.477
Hm13,Q9D8V0,Q9D8V0-4;A3KGR9,Minor histocompatibility antigen H13,,,,,,"12,591","16,928","5,445",56.8%,45.3,69.3,21.1,10.6,,,,63,43.363
Kdelr1,Q99JH8,Q99JH8;D3YU99;D3YUA0;Q9CQM2,ER lumen protein-retaining receptor 1;ER lumen protein-retaining receptor;ER lumen protein-retaining receptor 2,,,,,,"12,107","16,934","3,685",56.3%,43.5,65.6,15.1,5.7,,,,31,24.56
Mrps16,Q9CPX7,Q9CPX7,"28S ribosomal protein S16, mitochondrial",,,,,Mostly Organellar,"12,216","26,097","9,991",56.3%,46.3,91.0,40.9,3.6,5%,95%,0%,35,15.192
Tuba4a,P68368,P68368;A0A0A0MQA5,Tubulin alpha-4A chain,,,,,Mostly Cytosolic,"11,032","13,674","10,509",55.0%,42.4,50.7,39.3,10.6,2%,4%,94%,26,49.924
Eef1d,F6ZFU0,F6ZFU0,,,,,,,"10,959","12,821","9,318",54.8%,42.1,48.0,34.6,13.0,,,,43,61.391
Cog4,Q8R1U1,Q8R1U1;G3UWH9;Q7TSQ9,Conserved oligomeric Golgi complex subunit 4,,,,,Mostly Cytosolic,"10,605","11,276","9,901",54.3%,40.4,45.7,34.5,18.2,0%,2%,97%,68,88.66
Trappc13,Q3TIR1,Q3TIR1;J3QNW4;Q3TIR1-3;Q3TIR1-2,Trafficking protein particle complex subunit 13,,,,,Organellar with Cytosolic pool,"10,150","11,429","8,393",53.6%,37.8,41.3,34.4,9.1,1%,12%,87%,63,46.476
Yipf5,Q9EQQ2,Q9EQQ2,Protein YIPF5,,,,,,"9,543","30,252","5,571",52.8%,38.0,105.5,20.7,5.1,,,,48,27.873
Fdx1,P46656,P46656;Q545P3,"Adrenodoxin, mitochondrial",,,,,Mostly Organellar,"9,344","15,131","5,999",52.5%,34.3,56.1,24.6,3.6,10%,90%,0%,38,20.123
Tuba1c,P68373,P68373;Q52L87,Tubulin alpha-1C chain,,,,,Mostly Cytosolic,"9,149","18,855","7,827",52.2%,34.0,70.0,31.3,8.8,1%,3%,96%,15,49.909
Actn4,E9Q2W9,E9Q2W9,,,,,,,"8,743","10,501","7,240",51.6%,33.9,38.6,26.9,10.1,,,,39,59.897
Mrpl17,Q9D8P4,Q9D8P4;H3BJT9;H3BIZ3;Q9D8P4-2,"39S ribosomal protein L17, mitochondrial",,,,,Mostly Organellar,"8,192","12,320","6,682",50.7%,32.3,43.0,25.3,3.2,10%,90%,0%,33,20.249
Grpel2,Q0VB85,Q0VB85;O88396,"GrpE protein homolog;GrpE protein homolog 2, mitochondrial",,,,,Mostly Organellar,"8,035","10,440","6,197",50.3%,29.5,38.7,25.4,3.9,13%,87%,0%,59,25.029
Mrps12,O35680,O35680;E9PUY1,"28S ribosomal protein S12, mitochondrial",,,,,Mostly Organellar,"7,683","17,553","3,940",49.6%,30.6,65.1,13.7,2.3,2%,98%,0%,30,15.437
Mrps18a,Q99N85,Q99N85;Q5U5I3;D3Z603,"28S ribosomal protein S18a, mitochondrial",,,,,Mostly Organellar,"7,658","7,818","6,763",49.6%,27.9,29.9,27.3,3.3,0%,92%,8%,24,22.321
Lyrm7,Q9DA03,Q9DA03,Complex III assembly factor LYRM7,,,,,Mostly Organellar,"7,445","9,555","7,245",49.1%,29.6,33.3,26.9,1.7,0%,100%,0%,37,12.047
Bloc1s1,O55102,O55102;D3YVM8;D3Z4L7,Biogenesis of lysosome-related organelles complex 1 subunit 1,,,,,Organellar with Cytosolic pool,"7,201","10,096","3,662",48.6%,26.5,41.3,13.6,2.0,3%,70%,26%,28,14.281
Tmed3,Q78IS1,Q78IS1,Transmembrane emp24 domain-containing protein 3,,,,,,"7,090","18,606","3,239",48.5%,28.2,69.0,11.3,3.5,,,,48,25.465
Mrps18b,Q99N84,Q99N84;Q99N84-2,"28S ribosomal protein S18b, mitochondrial",,,,,,"7,041","7,670","4,525",48.3%,25.3,29.7,18.5,3.9,,,,39,28.702
Hnrnpl,Q8R081,Q8R081;G3UY38,Heterogeneous nuclear ribonucleoprotein L,,,,,Mostly Nuclear,"6,755","6,755","6,755",47.7%,23.6,23.6,0.0,8.3,99%,1%,0%,4,63.963
Cd9,P40240,P40240,CD9 antigen,,,,,Mostly Organellar,"6,703","9,898","5,085",47.5%,25.4,34.5,20.8,3.3,16%,84%,0%,59,25.258
Tpp1,O89023,O89023,Tripeptidyl-peptidase 1,,,,,Organellar with Cytosolic pool,"6,596","6,732","5,817",47.3%,25.0,27.5,20.3,7.8,2%,53%,45%,57,61.341
Mrpl18,Q9CQL5,Q9CQL5,"39S ribosomal protein L18, mitochondrial",,,,,Mostly Organellar,"6,498","12,201","4,576",47.0%,24.6,42.5,18.7,2.6,5%,95%,0%,33,20.677
Cog5,Q8C0L8,Q8C0L8,Conserved oligomeric Golgi complex subunit 5,,,,,Mostly Cytosolic,"6,310","8,784","5,766",46.6%,24.6,34.0,20.1,11.1,0%,2%,98%,38,91.39
Agl,F8VPN4,F8VPN4;A0A0G2JGI9;F6XXE6,,,,,,Mostly Cytosolic,"6,302","7,877","4,521",46.5%,24.6,27.5,17.5,21.2,0%,1%,99%,38,174.29
Tmem70,A0A0R4J272,A0A0R4J272;Q921N7,"Transmembrane protein 70, mitochondrial",,,,,Mostly Organellar,"6,271","9,340","2,785",46.5%,23.0,38.2,10.3,3.4,15%,85%,0%,32,28.402
Chchd3,D3Z0L4,D3Z0L4;Q9D9P1,,,,,,Mostly Organellar,"5,916","10,005","4,371",45.7%,23.6,37.1,15.2,2.6,12%,88%,0%,15,22.452
Immt,E9PVS5,E9PVS5,,,,,,Mostly Organellar,"5,863","6,834",635,45.5%,21.1,28.0,2.5,2.2,10%,90%,0%,17,19.676
Mmab,Q9D273,Q9D273;Q9D273-2;D3Z1G7,"Cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial",,,,,Mostly Organellar,"5,562","7,519","4,025",44.8%,21.5,26.7,15.6,2.8,11%,89%,0%,43,26.273
Lamtor4,Q8CF66,Q8CF66,"Ragulator complex protein LAMTOR4;Ragulator complex protein LAMTOR4, N-terminally processed",,,,,Mostly Organellar,"5,552","8,235","3,890",44.7%,20.4,33.7,14.4,1.1,0%,100%,0%,14,10.678
Mrpl32,Q9DCI9,Q9DCI9,"39S ribosomal protein L32, mitochondrial",,,,,Mostly Organellar,"5,473","9,858","2,803",44.6%,21.3,34.4,10.9,2.3,5%,95%,0%,44,21.733
Gys1,Q9Z1E4,Q9Z1E4;D3Z0Q6,"Glycogen [starch] synthase, muscle",,,,,Mostly Cytosolic,"5,127","5,926","2,736",43.7%,19.0,22.8,10.6,8.3,0%,8%,92%,48,83.926
Mrps36,Q9D6T9,Q9D6T9,,,,,,Mostly Organellar,"5,130","8,764","4,037",43.7%,19.4,32.5,15.6,1.1,7%,93%,0%,18,10.942
Ganab,Q8BHN3,Q8BHN3;Q8BHN3-3,Neutral alpha-glucosidase AB,,,,,,"5,085","6,740","2,190",43.5%,18.3,26.1,9.0,10.5,,,,54,106.91
Soat1,Q61263,Q61263;A0A087WNN8,Sterol O-acyltransferase 1,,,,,,"5,066","5,542","3,486",43.5%,18.2,21.5,14.3,6.2,,,,48,63.798
Snapin,Q9Z266,Q9Z266;Q9Z266-2,SNARE-associated protein Snapin,,,,,Organellar with Cytosolic pool,"4,992","9,634","3,335",43.2%,19.9,33.6,12.4,1.4,0%,60%,40%,28,14.904
Sec24d,Q6NXL1,Q6NXL1,,,,,,Organellar with Cytosolic pool,"4,902","7,450","3,322",43.0%,19.5,26.0,12.3,10.7,0%,11%,89%,85,112.67
Tmed5,A2RS96,A2RS96;Q9CXE7;E9PXY3,Transmembrane emp24 domain-containing protein 5,,,,,,"4,843","5,997","4,020",42.7%,18.9,20.9,15.6,2.4,,,,30,26.172
Mrps14,D3Z2K2,D3Z2K2;Q9CR88,"28S ribosomal protein S14, mitochondrial",,,,,Mostly Organellar,"4,482","7,395","4,302",41.7%,17.8,25.8,16.0,1.2,3%,97%,0%,35,14.279
Cnot8,Q9D8X5,Q9D8X5,CCR4-NOT transcription complex subunit 8,,,,,,"4,405","6,554","3,422",41.3%,16.2,24.3,14.0,2.9,,,,59,33.574
Asph,A2AL79,A2AL79;Q6P8S1;A2AL71;A2AL83;A2AL78,,,,,,,"4,387","5,124","1,908",41.2%,15.8,21.0,7.4,1.8,,,,21,20.724
Sdhaf2,Q8C6I2,Q8C6I2;Q8C6I2-2,"Succinate dehydrogenase assembly factor 2, mitochondrial",,,,,Mostly Organellar,"4,159","6,410","2,599",40.6%,16.2,22.4,10.1,1.6,2%,98%,0%,37,19.431
Ggh,Q9Z0L8,Q9Z0L8;Q9Z0L8-2,Gamma-glutamyl hydrolase,,,,,,"3,907","4,996","2,389",39.8%,14.8,17.4,9.8,2.7,,,,52,35.469
Ndufaf3,Q9JKL4,Q9JKL4,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3,,,,,Mostly Organellar,"3,920","5,182","3,446",39.8%,15.6,18.1,12.8,1.6,17%,83%,0%,18,20.733
Fcho2,Q3UQN2,Q3UQN2;F6RG68,F-BAR domain only protein 2,,,,,Organellar with Cytosolic pool,"3,863","4,955","2,950",39.6%,15.4,18.4,10.3,6.6,1%,15%,84%,74,88.733
Cald1,Q8VCQ8,Q8VCQ8;E9QA16;E9Q0M9;D3Z6I7;S4R1T7,,,,,,,"3,637","6,736","3,055",38.8%,14.4,25.0,10.8,4.2,,,,41,60.452
Immt,Q8CAQ8,Q8CAQ8;Q8CAQ8-5,MICOS complex subunit Mic60,,,,,Mostly Organellar,"3,511","3,963","2,265",38.4%,12.9,14.7,9.3,5.7,12%,88%,0%,49,83.899
Hnrnpa2b1,O88569,O88569-3,Heterogeneous nuclear ribonucleoproteins A2/B1,,,,,,"3,405","4,623","2,508",38.0%,12.9,17.2,0.0,2.1,,,,6,32.46
Tor1aip2,Q9ER81,Q9ER81,"Torsin-1A-interacting protein 2, isoform IFRG15",,,,,Mostly Cytosolic,"3,410","3,410","2,373",38.0%,11.9,14.0,0.0,1.0,0%,0%,100%,3,15.278
Tubb6,Q922F4,Q922F4;Q3UMM1,Tubulin beta-6 chain,,,,,Mostly Cytosolic,"3,276","6,102","1,266",37.5%,12.8,21.3,4.9,3.2,0%,8%,92%,13,50.09
Dbn1,A0A0R4J1E3,A0A0R4J1E3;Q9QXS6-2,Drebrin,,,,,Mostly Cytosolic,"3,192","5,468","1,171",37.1%,11.7,20.3,4.8,4.5,0%,4%,96%,10,72.544
Sept10,Q8C650,Q8C650;Q8C650-2;A0A0R4J233,Septin-10,,,,,,"2,989","3,701","1,596",36.1%,10.8,15.1,6.2,3.0,,,,52,52.422
Snx4,Q91YJ2,Q91YJ2,Sorting nexin-4,,,,,Organellar with Cytosolic pool,"2,994","3,174","1,879",36.1%,11.0,13.0,7.0,3.0,1%,54%,45%,72,51.777
Vamp8,O70404,O70404;A0A0R4J0R1,Vesicle-associated membrane protein 8,,,,,Mostly Organellar,"2,981","8,948",909,36.1%,11.0,33.2,3.7,0.7,7%,93%,0%,40,11.451
Tram1,Q91V04,Q91V04;Q4FK14,Translocating chain-associated membrane protein 1;Translocating chain-associated membrane protein,,,,,,"2,935","4,544","1,302",35.9%,10.8,16.9,5.3,2.4,,,,34,43.039
Pygl,Q9ET01,Q9ET01;Q3UEJ6,"Glycogen phosphorylase, liver form;Alpha-1,4 glucan phosphorylase",,,,,Nuclear and Cytosolic,"2,928","7,130","1,682",35.8%,11.0,26.5,6.6,5.5,13%,0%,87%,14,97.462
Golt1b,Q9CR60,Q9CR60,Vesicle transport protein GOT1B,,,,,,"2,890","12,388","2,715",35.6%,11.5,43.2,10.1,0.9,,,,21,15.421
Vti1a,O89116,O89116,Vesicle transport through interaction with t-SNAREs homolog 1A,,,,,Mostly Organellar,"2,791","4,354","2,743",35.2%,11.1,15.2,10.2,1.3,0%,96%,4%,42,24.986
Palld,Q9ET54,Q9ET54-4;Q9ET54-6;Q9ET54;Q9ET54-3;Q9ET54-2;Q9ET54-5,Palladin,,,,,,"2,657","4,829","1,960",34.6%,10.4,18.7,6.8,5.6,,,,109,108.29
Rab11fip1,E9Q8L9,E9Q8L9;Q9D620,Rab11 family-interacting protein 1,,,,,Organellar with Cytosolic pool,"2,652","4,643",68,34.5%,9.5,19.0,0.3,6.4,0%,28%,72%,9,125.02
Ogdh,Q60597,Q60597;Z4YJV4;Q60597-2,"2-oxoglutarate dehydrogenase, mitochondrial",,,,,,"2,571","4,686","2,224",34.2%,9.5,19.2,8.2,5.8,,,,19,116.45
